id,name,common_name,active_substance,therapeutic_area,group
1798,Masiviera,masitinib,masitinib,Pancreatic Neoplasms,Protein kinase inhibitors
1799,Ipreziv,azilsartan medoxomil,Azilsartan medoxomil,Hypertension,Agents acting on the renin-angiotensin system
1800,Fluenz,"influenza vaccine (live attenuated, nasal)","Reassortant influenza virus (live attenuated) of the following strains:A/California/7/2009 (H1N1)pdm09 like strain, A/Victoria/361/2011 (H3N2) like strain, B/Massachusetts/2/2012 like strain","Influenza, Human;Immunization",Vaccines
1801,Neofordex,dexamethasone,dexamethasone,Multiple Myeloma,
1802,Topotecan Eagle,topotecan,topotecan (as hydrochloride),Carcinoma;Small Cell Lung Carcinoma,Antineoplastic and immunomodulating agents
1803,Doribax,doripenem,doripenem,"Pneumonia, Ventilator-Associated;Pneumonia, Bacterial;Urinary Tract Infections;Bacterial Infections;Cross Infection",Antibacterials for systemic use
1804,Pioglitazone Krka,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1805,Rivastigmine 3M Health Care Ltd,rivastigmine,rivastigmine,Alzheimer Disease,Psychoanaleptics;Anticholinesterases
1806,Faldaprevir Boehringer Ingelheim,,faldaprevir,"Hepatitis C, Chronic",
1807,Clopidogrel Qualimed,clopidogrel,clopidogrel (as hydrochloride),Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1808,Reasanz,serelaxin,Serelaxin,Heart Failure,Other vasodilators used in cardiac diseases
1809,Nerventra,laquinimod,laquinimod,Multiple Sclerosis,
1810,Ioa,nomegestrol acetate;estradiol,Nomegestrol acetate;estradiol,Contraception,Sex hormones and modulators of the genital system
1811,Neocepri,,folic acid,Ovarian Neoplasms;Radionuclide Imaging,
1812,Folcepri,,Etarfolatide,Ovarian Neoplasms;Radionuclide Imaging,
1813,Revasc,desirudin,desirudin,Venous Thrombosis,Antithrombotic agents
1814,Olanzapine Cipla (previously Olanzapine Neopharma),olanzapine,olanzapine,Schizophrenia;Bipolar Disorder,Psycholeptics
1815,Issarlos,,strontium ranelate;colecalciferol,,
1816,Ditelos,,strontium ranelate;colecalciferol,,
1817,Preotact,parathyroid hormone (rDNA),parathyroid hormone (rDNA),"Osteoporosis, Postmenopausal",Calcium homeostasis
1818,Viracept,nelfinavir,nelfinavir,HIV Infections,Antivirals for systemic use
1819,Clopidogrel Teva Generics B.V.,clopidogrel,clopidogrel (as hydrochloride),Peripheral Vascular Diseases;Acute Coronary Syndrome;Myocardial Infarction;Stroke,Antithrombotic agents
1820,Onduarp,telmisartan;amlodipine,Telmisartan,Hypertension,Cardiovascular system
1821,Leflunomide Teva,leflunomide,leflunomide,"Arthritis, Rheumatoid",Immunosuppressants
1822,Docetaxel Teva Pharma,docetaxel,docetaxel,"Carcinoma, Non-Small-Cell Lung;Breast Neoplasms;Prostatic Neoplasms",Antineoplastic agents
1823,Tritanrix HepB,"diphtheria (D), tetanus (T), pertussis (whole cell) (Pw) and hepatitis B (rDNA) (HBV) vaccine (adsorbed)",Diphtheria toxoid;hepatitis B surface antigen;Bordetella pertussis (inactivated);tetanus toxoid,Hepatitis B;Tetanus;Immunization;Whooping Cough;Diphtheria,Vaccines
1824,Clopidogrel ratiopharm,clopidogrel,clopidogrel,Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1825,Masican,masitinib,masitinib,Gastrointestinal Stromal Tumors,Protein kinase inhibitors
1826,Rasitrio,aliskiren;amlodipine;hydrochlorothiazide,aliskiren;amlodipine;hydrochlorothiazide,Hypertension,Cardiovascular system
1827,IXinity,,Trenonacog alfa;Trenonacog alfa,Hemophilia B,
1828,Infanrix Penta,"diphtheria (D), tetanus (T), pertussis (acellular, component) (Pa), hepatitis B (rDNA) (HBV), poliomyelitis (inactivated) (IPV) vaccine (adsorbed)","Diphtheria toxoid;tetanus toxoid;Bordetella pertussis antigens (pertussis toxoid, filamentous haemagglutinin, pertactin);poliovirus (inactivated) (type 1 (Mahoney strain), type 2 (MEF-1 strain), type 3 (Saukett strain));hepatitis B surface antigen",Hepatitis B;Tetanus;Immunization;Whooping Cough;Poliomyelitis;Diphtheria,Vaccines
1829,Raxone,idebenone,idebenone,Eye Diseases,
1830,Sepioglin,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1831,Daronrix,"pandemic influenza vaccine (whole virion, inactivated, adjuvanted)","Whole virion, inactivated, containing antigen*: A/Vietnam/1194/2004 (H5N1)* produced in eggs","Influenza, Human;Immunization;Disease Outbreaks",Vaccines
1832,Omontys,,peginesatide,Anemia,
1833,Kynamro,mipomersen sodium,mipomersen sodium,Hypercholesterolemia,Cardiovascular system
1834,Qsiva,phentermine;topiramate,phentermine;Topiramate,Obesity,
1835,Fanaptum,iloperidone,iloperidone,Schizophrenia,Nervous system
1836,Trevaclyn,laropiprant;nicotinic acid,laropiprant;nicotinic acid,Dyslipidemias,Lipid modifying agents
1837,Pelzont,laropiprant;nicotinic acid,laropiprant;nicotinic acid,Dyslipidemias,Lipid modifying agents
1838,Tredaptive,laropiprant;nicotinic acid,laropiprant;nicotinic acid,Dyslipidemias,Lipid modifying agents
1839,Bondenza (previously Ibandronic Acid Roche),ibandronic acid,ibandronic acid,"Osteoporosis, Postmenopausal",Drugs for treatment of bone diseases
1840,Ribavirin BioPartners,ribavirin,Ribavirin,"Hepatitis C, Chronic",Antivirals for systemic use
1841,Possia,ticagrelor,Ticagrelor,Peripheral Vascular Diseases;Acute Coronary Syndrome,Antithrombotic agents
1842,Ruvise,imatinib,imatinib,,
1843,Memantine FGK,memantine,memantine,Alzheimer Disease,
1844,Labazenit,budesonide;salmeterol,Budesonide;salmeterol,Asthma,
1845,Istodax,romidepsin,romidepsin,"Lymphoma, Non-Hodgkin",Antineoplastic agents
1846,Acrescent,memantine hydrochloride;donepezil hydrochloride,memantine hydrochloride;donepezil hydrochloride,Alzheimer Disease,
1847,Balaxur,memantine hydrochloride;donepezil hydrochloride,memantine hydrochloride;donepezil hydrochloride,Alzheimer Disease,
1848,Riprazo,aliskiren,aliskiren,Hypertension,Agents acting on the renin-angiotensin system
1849,Duloxetine Boehringer Ingelheim,duloxetine,duloxetine,Diabetic Neuropathies,Psychoanaleptics
1850,Solumarv,insulin human,Insulin human,,
1851,Isomarv medium,insulin human,Insulin human,,
1852,Combimarv,insulin human,Insulin human,,
1853,Elelyso,taliglucerase alfa,Taliglucerase alfa,Gaucher Disease,
1854,Rilonacept Regeneron (previously Arcalyst),rilonacept,Rilonacept,Cryopyrin-Associated Periodic Syndromes,Immunosuppressants
1855,Imprida HCT,amlodipine;valsartan;hydrochlorothiazide,amlodipine;valsartan;hydrochlorothiazide,Hypertension,"Angiotensin II antagonists, plain;Angiotensin II antagonists, combinations"
1856,Zerene,zaleplon,zaleplon,Sleep Initiation and Maintenance Disorders,Psycholeptics
1857,Rivastigmine Teva,rivastigmine,rivastigmine,Dementia;Alzheimer Disease;Parkinson Disease,Anticholinesterases
1858,Riprazo HCT,aliskiren;hydrochlorothiazide,aliskiren;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
1859,Sprimeo HCT,aliskiren;hydrochlorothiazide,aliskiren;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
1860,Exalief,eslicarbazepine acetate,eslicarbazepine acetate,Epilepsy,Antiepileptics
1861,Hexavac,"diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis, hepatitisÿB (recombinant) and Haemophilus influenzae type b conjugate vaccine, adjuvanted",purified diphtheria toxoid;Purified Tetanus Toxoid;purified pertussis toxoid;purified pertussis filamentous haemagglutinin;hepatitis B surface antigen;Inactivated Type 1 Poliovirus (Mahoney);inactivated type 2 poliovirus (MEF 1);Inactivated Type 3 Poliovirus (Saukett);Haemophilus influenzae type b polysaccharide,"Hepatitis B;Tetanus;Immunization;Meningitis, Haemophilus;Whooping Cough;Poliomyelitis;Diphtheria",Vaccines
1862,Regranex,becaplermin,becaplermin,Wound Healing;Skin Ulcer,Preparations for treatment of wounds and ulcers
1863,MabCampath,alemtuzumab,alemtuzumab,"Leukemia, Lymphocytic, Chronic, B-Cell",Antineoplastic agents
1864,Valtropin,somatropin,somatropin,"Turner Syndrome;Dwarfism, Pituitary",Pituitary and hypothalamic hormones and analogues
1865,Teslascan,mangafodipir,mangafodipir trisodium,Magnetic Resonance Imaging,Contrast media
1866,Refludan,lepirudin,lepirudin,Thromboembolism;Thrombocytopenia,Antithrombotic agents
1867,Clopidogrel Acino Pharma GmbH,clopidogrel,clopidogrel,Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1868,Clopidogrel Acino Pharma,clopidogrel,clopidogrel,Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1869,Clopidogrel Hexal,clopidogrel,clopidogrel,Peripheral Vascular Diseases;Acute Coronary Syndrome;Myocardial Infarction;Stroke,Antithrombotic agents
1870,Sprimeo,aliskiren,aliskiren,Hypertension,Agents acting on the renin-angiotensin system
1871,Mulsevo,,semuloparin sodium,,
1872,Egrifta,,tesamorelin,,
1873,Folotyn,pralatrexate,Pralatrexate,"Lymphoma, T-Cell",Antineoplastic agents
1874,Pioglitazone Teva Generics,pioglitazone,pioglitazone hydrochloride,"Diabetes Mellitus, Type 2",Alimentary tract and metabolism
1875,Fablyn,lasofoxifene,Lasofoxifene tartrate,"Osteoporosis, Postmenopausal",Sex hormones and modulators of the genital system
1876,Intrinsa,testosterone,Testosterone,"Sexual Dysfunctions, Psychological",Sex hormones and modulators of the genital system
1877,Docefrez,docetaxel,docetaxel,"Stomach Neoplasms;Adenoma;Breast Neoplasms;Carcinoma, Non-Small-Cell Lung;Prostatic Neoplasms",Antineoplastic agents
1878,PhotoBarr,porfimer sodium,porfimer sodium,Barrett Esophagus,Antineoplastic agents
1879,Pioglitazone ratiopharm GmbH,pioglitazone,pioglitazone,"Diabetes Mellitus, Type 2",
1880,Pioglitazone ratiopharm,pioglitazone,pioglitazone,"Diabetes Mellitus, Type 2",
1881,Pioglitazone ratio,pioglitazone,pioglitazone,"Diabetes Mellitus, Type 2",
1882,Livensa,testosterone,Testosterone,"Sexual Dysfunctions, Psychological",Sex hormones and modulators of the genital system
1883,"Prepandemic Influenza Vaccine (H5N1) (Split Virion, Inactivated, Adjuvanted) GlaxoSmithKline Biologicals","prepandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)","split influenza virus, inactivated, containing antigen: A/VietNam/1194/2004 (H5N1) like strain used (NIBRG-14)","Influenza, Human;Immunization;Disease Outbreaks",Vaccines
1884,Xigris,drotrecogin alfa (activated),drotrecogin alfa (activated),Sepsis;Multiple Organ Failure,Antithrombotic agents
1885,Sumatriptan Galpharm,sumatriptan,sumatriptan succinate,Migraine Disorders,
1886,Desloratadine Krka,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial;Rhinitis, Allergic, Seasonal",Respiratory system
1887,Ablavar (previously Vasovist),gadofosveset trisodium,gadofosveset trisodium,Magnetic Resonance Angiography,Contrast media
1888,Clopidogrel Sandoz,clopidogrel,clopidogrel,Peripheral Vascular Diseases;Stroke;Myocardial Infarction,Antithrombotic agents
1889,Arepanrix,"pandemic influenza vaccine (H1N1)v (split virion, inactivated, adjuvanted)","split influenza virus, inactivated, containing antigen*: A/California/7/2009 (H1N1)v like strain (X-179A)*propagated in eggs.","Influenza, Human;Immunization;Disease Outbreaks",Influenza vaccines
1890,Luveniq,,Voclosporin,Uveitis,Antineoplastic and immunomodulating agents
1891,Alisade,fluticasone furoate,fluticasone furoate,"Rhinitis, Allergic, Perennial;Rhinitis, Allergic, Seasonal",Nasal preparations
1892,Doxorubicin SUN,doxorubicin,doxorubicin hydrochloride,,
1893,Ibandronic Acid Hexal,ibandronic acid,ibandronic acid,Hypercalcemia;Breast Neoplasms;Osteoporosis;Neoplasm Metastasis,Drugs for treatment of bone diseases
1894,Avaglim,rosiglitazone;glimepiride,rosiglitazone;glimepiride,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1895,Filgrastim ratiopharm,filgrastim,filgrastim,Neutropenia;Hematopoietic Stem Cell Transplantation;Cancer,Immunostimulants
1896,Humenza,"pandemic influenza vaccine (H1N1) (split virion, inactivated, adjuvanted)","split influenza virus, inactivated, containing antigen*: A/California/7/2009 (H1N1)v like strain (X-179A)*propagated in eggs.","Influenza, Human;Immunization;Disease Outbreaks",Vaccines
1897,Agenerase,amprenavir,amprenavir,HIV Infections,Antivirals for systemic use
1898,Beprana,,naproxcinod,,
1899,Enviage,aliskiren,aliskiren,Hypertension,Agents acting on the renin-angiotensin system
1900,Epostim,epoetin alfa,epoetin alfa,Anemia,
1901,Onsenal,celecoxib,Celecoxib,Adenomatous Polyposis Coli,Antineoplastic agents
1902,Thelin,sitaxentan sodium,sitaxentan sodium,"Hypertension, Pulmonary",Antihypertensives
1903,Clopidogrel 1A Pharma,clopidogrel,clopidogrel,Peripheral Vascular Diseases,Antithrombotic agents
1904,Topotecan SUN,topotecan,topotecan,,Antineoplastic agents
1905,Movectro,cladribine,Cladribine,Multiple Sclerosis,Antineoplastic agents
1906,Tekinex,,omacetaxine mepesuccinate,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",Antineoplastic agents
1907,Ozespa,,Briakinumab,Psoriasis,Immunosuppressants
1908,Ionsys,fentanyl,fentanyl hydrochloride,"Pain, Postoperative",Analgesics
1909,ImmunoGam,human hepatitis B immunoglobulin,human hepatitis B immunoglobulin,"Immunization, Passive;Hepatitis B",Specific immunoglobulins
1910,Zenhale,,Formoterol (fumarate);Mometasone furoate,,Drugs for obstructive airway diseases
1911,NeoSpect,depreotide,depreotide trifluoroacetate,Radionuclide Imaging,Diagnostic radiopharmaceuticals
1912,Zeftera (previously Zevtera),ceftobiprole,ceftobiprole medocaril,"Skin Diseases, Infectious;Soft Tissue Infections",
1913,Brilence,bazedoxifene,bazedoxifene,,Sex hormones and modulators of the genital system
1914,Tyvaso,,Treprostinil sodium,"Hypertension, Pulmonary",
1915,Repaglinide Sun,repaglinide,repaglinide,"Diabetes Mellitus, Type 2",
1916,Impulsor,milnacipran,milnacipran,Fibromyalgia,
1917,Milnacipran Pierre Fabre Medicament,milnacipran,milnacipran,Fibromyalgia,
1918,Ibuprofen/Diphenhydramine Hydrochloride Wyeth,,Ibuprofen,Pain,
1919,Docetaxel Mylan,docetaxel,docetaxel,"Carcinoma, Non-Small-Cell Lung;Breast Neoplasms;Head and Neck Neoplasms;Stomach Neoplasms;Adenocarcinoma;Prostatic Neoplasms",
1920,Ratioepo,epoetin theta,epoetin theta,Anemia;Kidney Failure;Cancer,
1921,Paxene,paclitaxel,paclitaxel,"Sarcoma, Kaposi;Carcinoma, Non-Small-Cell Lung;Ovarian Neoplasms;Breast Neoplasms",Antineoplastic agents
1922,Bextra,valdecoxib,valdecoxib,"Arthritis, Rheumatoid;Osteoarthritis;Dysmenorrhea",Antiinflammatory and antirheumatic products
1923,Clopidogrel BMS,clopidogrel,clopidogrel (as hydrogen sulfate),Stroke;Peripheral Vascular Diseases;Myocardial Infarction;Acute Coronary Syndrome,Antithrombotic agents
1924,Comfyde,,Carisbamate,Epilepsy,
1925,Turvel,trovafloxacin,trovafloxacin,Bacterial Infections,Antibacterials for systemic use
1926,Turvel IV,trovafloxacin,alatrofloxacin mesilate,Bacterial Infections,Antibacterials for systemic use
1927,Sovrima,idebenone,idebenone,Friedreich Ataxia,Psychoanaleptics
1928,Trovan IV,trovafloxacin,alatrofloxacin mesilate,Bacterial Infections,Antibacterials for systemic use
1929,Allex,desloratadine,desloratadine,"Rhinitis, Allergic, Perennial;Urticaria;Rhinitis, Allergic, Seasonal",Antihistamines for systemic use
1930,Evotopin,topotecan,topotecan,Ovarian Neoplasms,Antineoplastic agents
1931,Trovan,trovafloxacin,trovafloxacin,Bacterial Infections,Antibacterials for systemic use
1932,Indimacis 125,igovomab,igovomab,Radionuclide Imaging;Ovarian Neoplasms,Diagnostic radiopharmaceuticals
1933,Rotashield,rotavirus vaccine,"rotavirus serotype 1 reassortant, rotavirus serotype 2 reassortant, rotavirus serotype 3 rhesus, rotavirus serotype 4 reassortant",Immunization;Rotavirus Infections,Vaccines
1934,Destara,ibandronic acid,ibandronic acid,Hypercalcemia;Cancer,Drugs for treatment of bone diseases
1935,Zelnorm,tegaserod,tegaserod,Irritable Bowel Syndrome,Drugs for functional gastrointestinal disorders
1936,Tikosyn,dofetilide,dofetilide,Atrial Fibrillation;Atrial Flutter,Cardiac therapy
1937,Tecnemab K1,anti-melanoma mab fragments,anti-melanoma mab fragments,Radioimmunodetection,Diagnostic radiopharmaceuticals
1938,Rhucin,recombinant human C1 inhibitor,recombinant human C1 inhibitor,Angioedema,Other hematological agents
1939,Genasense,oblimersen,oblimersen,Melanoma,
1940,Recothrom,,thrombin alfa,,
1941,Nenad,,lisuride,Restless Legs Syndrome,
1942,Irbesartan BMS,irbesartan,irbesartan,Hypertension,Agents acting on the renin-angiotensin system
1943,Irbesartan Hydrochlorothiazide BMS,irbesartan;hydrochlorothiazide,irbesartan;hydrochlorothiazide,Hypertension,Agents acting on the renin-angiotensin system
1944,Gemesis,becaplermin,becaplermin,"Guided Tissue Regeneration, Periodontal",
1945,Zactima,vandetanib,Vandetanib,"Carcinoma, Non-Small-Cell Lung",
1946,Zunrisa,,Casopitant,Vomiting;Postoperative Nausea and Vomiting;Cancer,
1947,Tekturna,aliskiren,aliskiren,Hypertension,Agents acting on the renin-angiotensin system
1948,Trazec,nateglinide,nateglinide,"Diabetes Mellitus, Type 2",Drugs used in diabetes
1949,Posaconazole SP,posaconazole,posaconazole,Candidiasis;Mycoses;Coccidioidomycosis;Aspergillosis,Antimycotics for systemic use
1950,Raptiva,efalizumab,efalizumab,Psoriasis,Immunosuppressants
1951,Bosatria,mepolizumab,Mepolizumab,Hypereosinophilic Syndrome,
1952,Procomvax,haemophilusÿB conjugate (meningococcal protein conjugate) and hepatitis B (recombinant) vaccine,polyribosylribitol phosphate from Haemophilus influenzae type b as PRP-OMPC;outer membrane protein complex of Neisseria meningitidis (outer membrane protein complex of the B11 strain of Neisseria meningitidis subgroup B);adsorbed hepatitis B surface antigen produced in recombinant yeast cells (Saccharomyces cerevisiae),"Hepatitis B;Meningitis, Haemophilus;Immunization",Vaccines
1953,Biferonex,interferon beta-1a,interferon beta-1a,Multiple Sclerosis,
1954,Lunivia,,eszopiclone,Sleep Initiation and Maintenance Disorders,
1955,Parareg,cinacalcet,cinacalcet,Hypercalcemia;Parathyroid Neoplasms;Hyperparathyroidism,Calcium homeostasis
1956,Clopidogrel Teva Pharma,clopidogrel,clopidogrel,"Ischemic Attack, Transient;Peripheral Vascular Diseases;Myocardial Infarction;Acute Coronary Syndrome",
